,iso_code,country,year,GDLcode,continent2,level,region,continent,CountryName_std,shdi,healthindex,incindex,edindex,esch,msch,lifexp,gnic,lgnic,pop,POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,Continent_std,surfaceTemperature,soilMoisture10cm,soilMoisture40cm
54,KHM,Cambodia,1993,KHMr109,Asia,Subnat,Prey Veaeng,Asia/Pacific,Cambodia,0.36000001,0.491,0.347,0.27399999,6.9840002,2.3989999,51.897999,997.02698,6.9050002,824.779,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30319489170944275,0.31425714221627465
55,KHM,Cambodia,1993,KHMr115,Asia,Subnat,Preah Vihear-Stueng Traeng-Kracheh,Asia/Pacific,Cambodia,0.35800001,0.53399998,0.33899999,0.25400001,6.053,2.563,54.710999,941.45502,6.8470001,396.038,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3340666561066259,0.34783590223934696
56,KHM,Cambodia,1993,KHMr106,Asia,Subnat,Kandal,Asia/Pacific,Cambodia,0.384,0.55199999,0.35299999,0.292,7.1729999,2.7750001,55.856998,1033.939,6.941,972.745,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2978269361050878,0.30930419339623894
57,KHM,Cambodia,1993,KHMr110,Asia,Subnat,Pousat,Asia/Pacific,Cambodia,0.33899999,0.46700001,0.34099999,0.245,5.9980001,2.3499999,50.362999,956.02399,6.8629999,300.518,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3430758384430497,0.34771335426739
58,KHM,Cambodia,1993,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.38,0.52700001,0.34400001,0.30399999,7.4510002,2.898,54.236,976.922,6.8839998,660.661,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.33585937835036433,0.34690425589420987
59,KHM,Cambodia,1993,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.38,0.52700001,0.34400001,0.30399999,7.4510002,2.898,54.236,976.922,6.8839998,660.661,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.33180966517230664,0.3394152076761987
60,KHM,Cambodia,1993,KHMr107,Asia,Subnat,Kaoh Kong,Asia/Pacific,Cambodia,0.37,0.58099997,0.368,0.237,5.5180001,2.497,57.769001,1142.6479,7.0409999,101.203,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.35997630954081034,0.36258532887859923
61,KHM,Cambodia,1993,KHMr116,Asia,Subnat,Mondol Kiri-Rotanak Kiri,Asia/Pacific,Cambodia,0.273,0.42500001,0.336,0.142,3.651,1.212,47.651001,927.10901,6.8319998,112.171,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3405855275907432,0.3556156504375684
62,KHM,Cambodia,1993,KHMr102,Asia,Subnat,Kampong Cham (incl Tboung Khmum),Asia/Pacific,Cambodia,0.36500001,0.51300001,0.352,0.26899999,6.901,2.3329999,53.370998,1028.4449,6.9359999,1305.767,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31527759231284697,0.3176560433153007
63,KHM,Cambodia,1993,KHMr113,Asia,Subnat,Bat Dambang-Krong Pailin,Asia/Pacific,Cambodia,0.389,0.52399999,0.36899999,0.30500001,7.1479998,3.1849999,54.028,1152.719,7.0500002,697.652,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.32392989927953886,0.32803052558513296
64,KHM,Cambodia,1993,KHMr101,Asia,Subnat,Banteay Mean Chey,Asia/Pacific,Cambodia,0.366,0.55199999,0.33899999,0.26100001,6.6570001,2.2920001,55.908001,943.52301,6.8499999,463.34,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2892517676698914,0.2898457245781597
65,KHM,Cambodia,1993,KHMr112,Asia,Subnat,Takaev,Asia/Pacific,Cambodia,0.38800001,0.53600001,0.34,0.32100001,7.934,3.0209999,54.842999,952.43597,6.8590002,713.605,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3031148468585,0.3105283065035164
66,KHM,Cambodia,1993,KHMr105,Asia,Subnat,Kampong Thum,Asia/Pacific,Cambodia,0.36199999,0.56699997,0.32699999,0.255,6.3979998,2.325,56.866001,872.14801,6.7709999,517.88,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3220001813346556,0.3292233111518539
67,KHM,Cambodia,1993,KHMr111,Asia,Subnat,Svay Rieng,Asia/Pacific,Cambodia,0.373,0.51899999,0.347,0.289,7.1040001,2.743,53.747002,992.97302,6.901,438.613,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3085040570848635,0.31291254857314155
68,KHM,Cambodia,1993,KHMr117,Asia,Subnat,Siem Reab-Otdar Mean Chey,Asia/Pacific,Cambodia,0.338,0.52600002,0.338,0.21799999,5.5029998,1.957,54.216,934.987,6.8410001,679.007,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31623589725526724,0.33015805999535214
69,KHM,Cambodia,1993,KHMr104,Asia,Subnat,Kampong Spueu,Asia/Pacific,Cambodia,0.359,0.583,0.32100001,0.24699999,6.388,2.096,57.923,837.06702,6.73,534.631,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3284496784909783,0.33397827998620133
70,KHM,Cambodia,1993,KHMr108,Asia,Subnat,Phnom Penh,Asia/Pacific,Cambodia,0.542,0.662,0.54799998,0.43900001,9.4099998,5.3130002,63.041,3773.498,8.2360001,867.454,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30840562655759984,0.3154561263956663
71,KHM,Cambodia,1993,KHMr103,Asia,Subnat,Kampong Chhnang,Asia/Pacific,Cambodia,0.345,0.48100001,0.34599999,0.24699999,6.1729999,2.26,51.242001,986.46002,6.8940001,384.771,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3145994476962746,0.32110239352866515
72,KHM,Cambodia,1994,KHMr115,Asia,Subnat,Preah Vihear-Stueng Traeng-Kracheh,Asia/Pacific,Cambodia,0.361,0.53899997,0.34,0.257,6.053,2.654,55.012001,949.01801,6.855,409.827,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.34399390128578955,0.3560129898291391
73,KHM,Cambodia,1994,KHMr108,Asia,Subnat,Phnom Penh,Asia/Pacific,Cambodia,0.54699999,0.66799998,0.55000001,0.44499999,9.4099998,5.5029998,63.388,3809.9839,8.2449999,897.657,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3129392792537412,0.3193546050591946
74,KHM,Cambodia,1994,KHMr109,Asia,Subnat,Prey Veaeng,Asia/Pacific,Cambodia,0.36300001,0.495,0.34900001,0.27700001,6.9840002,2.4849999,52.183998,1005.103,6.9130001,853.497,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30611854815659884,0.32081067278683384
